data,valor,indicador
2019-04-01,0.57,ipca
2019-05-01,0.13,ipca
2019-06-01,0.01,ipca
2019-07-01,0.19,ipca
2019-08-01,0.11,ipca
2019-09-01,-0.04,ipca
2019-10-01,0.1,ipca
2019-11-01,0.51,ipca
2019-12-01,1.15,ipca
2020-01-01,0.21,ipca
2020-02-01,0.25,ipca
2020-03-01,0.07,ipca
2020-04-01,-0.31,ipca
2020-05-01,-0.38,ipca
2020-06-01,0.26,ipca
2020-07-01,0.36,ipca
2020-08-01,0.24,ipca
2020-09-01,0.64,ipca
2020-10-01,0.86,ipca
2020-11-01,0.89,ipca
2020-12-01,1.35,ipca
2021-01-01,0.25,ipca
2021-02-01,0.86,ipca
2021-03-01,0.93,ipca
2021-04-01,0.31,ipca
2021-05-01,0.83,ipca
2021-06-01,0.53,ipca
2021-07-01,0.96,ipca
2021-08-01,0.87,ipca
2021-09-01,1.16,ipca
2021-10-01,1.25,ipca
2021-11-01,0.95,ipca
2021-12-01,0.73,ipca
2022-01-01,0.54,ipca
2022-02-01,1.01,ipca
2022-03-01,1.62,ipca
2022-04-01,1.06,ipca
2022-05-01,0.47,ipca
2022-06-01,0.67,ipca
2022-07-01,-0.68,ipca
2022-08-01,-0.36,ipca
2022-09-01,-0.29,ipca
2022-10-01,0.59,ipca
2022-11-01,0.41,ipca
2022-12-01,0.62,ipca
2023-01-01,0.53,ipca
2023-02-01,0.84,ipca
2023-03-01,0.71,ipca
2023-04-01,0.61,ipca
2023-05-01,0.23,ipca
2023-06-01,-0.08,ipca
2023-07-01,0.12,ipca
2023-08-01,0.23,ipca
2023-09-01,0.26,ipca
2023-10-01,0.24,ipca
2023-11-01,0.28,ipca
2023-12-01,0.56,ipca
2024-01-01,0.42,ipca
2024-02-01,0.83,ipca
2024-03-01,0.16,ipca
2024-04-01,0.38,ipca
2024-05-01,0.46,ipca
2024-06-01,0.21,ipca
2024-07-01,0.38,ipca
2024-08-01,-0.02,ipca
2024-09-01,0.44,ipca
2024-10-01,0.56,ipca
2024-11-01,0.39,ipca
2024-12-01,0.52,ipca
2025-01-01,0.16,ipca
2025-02-01,1.31,ipca
2025-03-01,0.56,ipca
2025-04-01,0.43,ipca
2025-05-01,0.26,ipca
2025-06-01,0.24,ipca
2025-07-01,0.26,ipca
2025-08-01,-0.11,ipca
2025-09-01,0.48,ipca
2025-10-01,0.09,ipca
2025-11-01,0.18,ipca
2025-12-01,0.33,ipca
2026-01-01,0.33,ipca
2026-02-01,0.7,ipca
2026-03-01,0.88,ipca
2026-04-01,0.67,ipca
2026-05-01,0.58,ipca
2026-06-01,0.16,ipca
2026-07-01,0.07,ipca
2000-05-01,0.09,ipca_15
2000-06-01,0.08,ipca_15
2000-07-01,0.78,ipca_15
2000-08-01,1.99,ipca_15
2000-09-01,0.45,ipca_15
2000-10-01,0.18,ipca_15
2000-11-01,0.17,ipca_15
2000-12-01,0.6,ipca_15
2001-01-01,0.63,ipca_15
2001-02-01,0.5,ipca_15
2001-03-01,0.36,ipca_15
2001-04-01,0.5,ipca_15
2001-05-01,0.49,ipca_15
2001-06-01,0.38,ipca_15
2001-07-01,0.94,ipca_15
2001-08-01,1.18,ipca_15
2001-09-01,0.38,ipca_15
2001-10-01,0.37,ipca_15
2001-11-01,0.99,ipca_15
2001-12-01,0.55,ipca_15
2002-01-01,0.62,ipca_15
2002-02-01,0.44,ipca_15
2002-03-01,0.4,ipca_15
2002-04-01,0.78,ipca_15
2002-05-01,0.42,ipca_15
2002-06-01,0.33,ipca_15
2002-07-01,0.77,ipca_15
2002-08-01,1,ipca_15
2002-09-01,0.62,ipca_15
2002-10-01,0.9,ipca_15
2002-11-01,2.08,ipca_15
2002-12-01,3.05,ipca_15
2003-01-01,1.98,ipca_15
2003-02-01,2.19,ipca_15
2003-03-01,1.14,ipca_15
2003-04-01,1.14,ipca_15
2003-05-01,0.85,ipca_15
2003-06-01,0.22,ipca_15
2003-07-01,-0.18,ipca_15
2003-08-01,0.27,ipca_15
2003-09-01,0.57,ipca_15
2003-10-01,0.66,ipca_15
2003-11-01,0.17,ipca_15
2003-12-01,0.46,ipca_15
2004-01-01,0.68,ipca_15
2004-02-01,0.9,ipca_15
2004-03-01,0.4,ipca_15
2004-04-01,0.21,ipca_15
2004-05-01,0.54,ipca_15
2004-06-01,0.56,ipca_15
2004-07-01,0.93,ipca_15
2004-08-01,0.79,ipca_15
2004-09-01,0.49,ipca_15
2004-10-01,0.32,ipca_15
2004-11-01,0.63,ipca_15
2004-12-01,0.84,ipca_15
2005-01-01,0.68,ipca_15
2005-02-01,0.74,ipca_15
2005-03-01,0.35,ipca_15
2005-04-01,0.74,ipca_15
2005-05-01,0.83,ipca_15
2005-06-01,0.12,ipca_15
2005-07-01,0.11,ipca_15
2005-08-01,0.28,ipca_15
2005-09-01,0.16,ipca_15
2005-10-01,0.56,ipca_15
2005-11-01,0.78,ipca_15
2005-12-01,0.38,ipca_15
2006-01-01,0.51,ipca_15
2006-02-01,0.52,ipca_15
2006-03-01,0.37,ipca_15
2006-04-01,0.17,ipca_15
2006-05-01,0.27,ipca_15
2006-06-01,-0.15,ipca_15
2006-07-01,-0.02,ipca_15
2006-08-01,0.19,ipca_15
2006-09-01,0.05,ipca_15
2006-10-01,0.29,ipca_15
2006-11-01,0.37,ipca_15
2006-12-01,0.35,ipca_15
2007-01-01,0.52,ipca_15
2007-02-01,0.46,ipca_15
2007-03-01,0.41,ipca_15
2007-04-01,0.22,ipca_15
2007-05-01,0.26,ipca_15
2007-06-01,0.29,ipca_15
2007-07-01,0.24,ipca_15
2007-08-01,0.42,ipca_15
2007-09-01,0.29,ipca_15
2007-10-01,0.24,ipca_15
2007-11-01,0.23,ipca_15
2007-12-01,0.7,ipca_15
2008-01-01,0.7,ipca_15
2008-02-01,0.64,ipca_15
2008-03-01,0.23,ipca_15
2008-04-01,0.59,ipca_15
2008-05-01,0.56,ipca_15
2008-06-01,0.9,ipca_15
2008-07-01,0.63,ipca_15
2008-08-01,0.35,ipca_15
2008-09-01,0.26,ipca_15
2008-10-01,0.3,ipca_15
2008-11-01,0.49,ipca_15
2008-12-01,0.29,ipca_15
2009-01-01,0.4,ipca_15
2009-02-01,0.63,ipca_15
2009-03-01,0.11,ipca_15
2009-04-01,0.36,ipca_15
2009-05-01,0.59,ipca_15
2009-06-01,0.38,ipca_15
2009-07-01,0.22,ipca_15
2009-08-01,0.23,ipca_15
2009-09-01,0.19,ipca_15
2009-10-01,0.18,ipca_15
2009-11-01,0.44,ipca_15
2009-12-01,0.38,ipca_15
2010-01-01,0.52,ipca_15
2010-02-01,0.94,ipca_15
2010-03-01,0.55,ipca_15
2010-04-01,0.48,ipca_15
2010-05-01,0.63,ipca_15
2010-06-01,0.19,ipca_15
2010-07-01,-0.09,ipca_15
2010-08-01,-0.05,ipca_15
2010-09-01,0.31,ipca_15
2010-10-01,0.62,ipca_15
2010-11-01,0.86,ipca_15
2010-12-01,0.69,ipca_15
2011-01-01,0.76,ipca_15
2011-02-01,0.97,ipca_15
2011-03-01,0.6,ipca_15
2011-04-01,0.77,ipca_15
2011-05-01,0.7,ipca_15
2011-06-01,0.23,ipca_15
2011-07-01,0.1,ipca_15
2011-08-01,0.27,ipca_15
2011-09-01,0.53,ipca_15
2011-10-01,0.42,ipca_15
2011-11-01,0.46,ipca_15
2011-12-01,0.56,ipca_15
2012-01-01,0.65,ipca_15
2012-02-01,0.53,ipca_15
2012-03-01,0.25,ipca_15
2012-04-01,0.43,ipca_15
2012-05-01,0.51,ipca_15
2012-06-01,0.18,ipca_15
2012-07-01,0.33,ipca_15
2012-08-01,0.39,ipca_15
2012-09-01,0.48,ipca_15
2012-10-01,0.65,ipca_15
2012-11-01,0.54,ipca_15
2012-12-01,0.69,ipca_15
2013-01-01,0.88,ipca_15
2013-02-01,0.68,ipca_15
2013-03-01,0.49,ipca_15
2013-04-01,0.51,ipca_15
2013-05-01,0.46,ipca_15
2013-06-01,0.38,ipca_15
2013-07-01,0.07,ipca_15
2013-08-01,0.16,ipca_15
2013-09-01,0.27,ipca_15
2013-10-01,0.48,ipca_15
2013-11-01,0.57,ipca_15
2013-12-01,0.75,ipca_15
2014-01-01,0.67,ipca_15
2014-02-01,0.7,ipca_15
2014-03-01,0.73,ipca_15
2014-04-01,0.78,ipca_15
2014-05-01,0.58,ipca_15
2014-06-01,0.47,ipca_15
2014-07-01,0.17,ipca_15
2014-08-01,0.14,ipca_15
2014-09-01,0.39,ipca_15
2014-10-01,0.48,ipca_15
2014-11-01,0.38,ipca_15
2014-12-01,0.79,ipca_15
2015-01-01,0.89,ipca_15
2015-02-01,1.33,ipca_15
2015-03-01,1.24,ipca_15
2015-04-01,1.07,ipca_15
2015-05-01,0.6,ipca_15
2015-06-01,0.99,ipca_15
2015-07-01,0.59,ipca_15
2015-08-01,0.43,ipca_15
2015-09-01,0.39,ipca_15
2015-10-01,0.66,ipca_15
2015-11-01,0.85,ipca_15
2015-12-01,1.18,ipca_15
2016-01-01,0.92,ipca_15
2016-02-01,1.42,ipca_15
2016-03-01,0.43,ipca_15
2016-04-01,0.51,ipca_15
2016-05-01,0.86,ipca_15
2016-06-01,0.4,ipca_15
2016-07-01,0.54,ipca_15
2016-08-01,0.45,ipca_15
2016-09-01,0.23,ipca_15
2016-10-01,0.19,ipca_15
2016-11-01,0.26,ipca_15
2016-12-01,0.19,ipca_15
2017-01-01,0.31,ipca_15
2017-02-01,0.54,ipca_15
2017-03-01,0.15,ipca_15
2017-04-01,0.21,ipca_15
2017-05-01,0.24,ipca_15
2017-06-01,0.16,ipca_15
2017-07-01,-0.18,ipca_15
2017-08-01,0.35,ipca_15
2017-09-01,0.11,ipca_15
2017-10-01,0.34,ipca_15
2017-11-01,0.32,ipca_15
2017-12-01,0.35,ipca_15
2018-01-01,0.39,ipca_15
2018-02-01,0.38,ipca_15
2018-03-01,0.1,ipca_15
2018-04-01,0.21,ipca_15
2018-05-01,0.14,ipca_15
2018-06-01,1.11,ipca_15
2018-07-01,0.64,ipca_15
2018-08-01,0.13,ipca_15
2018-09-01,0.09,ipca_15
2018-10-01,0.58,ipca_15
2018-11-01,0.19,ipca_15
2018-12-01,-0.16,ipca_15
2019-01-01,0.3,ipca_15
2019-02-01,0.34,ipca_15
2019-03-01,0.54,ipca_15
2019-04-01,0.72,ipca_15
2019-05-01,0.35,ipca_15
2019-06-01,0.06,ipca_15
2019-07-01,0.09,ipca_15
2019-08-01,0.08,ipca_15
2019-09-01,0.09,ipca_15
2019-10-01,0.09,ipca_15
2019-11-01,0.14,ipca_15
2019-12-01,1.05,ipca_15
2020-01-01,0.71,ipca_15
2020-02-01,0.22,ipca_15
2020-03-01,0.02,ipca_15
2020-04-01,-0.01,ipca_15
2020-05-01,-0.59,ipca_15
2020-06-01,0.02,ipca_15
2020-07-01,0.3,ipca_15
2020-08-01,0.23,ipca_15
2020-09-01,0.45,ipca_15
2020-10-01,0.94,ipca_15
2020-11-01,0.81,ipca_15
2020-12-01,1.06,ipca_15
2021-01-01,0.78,ipca_15
2021-02-01,0.48,ipca_15
2021-03-01,0.93,ipca_15
2021-04-01,0.6,ipca_15
2021-05-01,0.44,ipca_15
2021-06-01,0.83,ipca_15
2021-07-01,0.72,ipca_15
2021-08-01,0.89,ipca_15
2021-09-01,1.14,ipca_15
2021-10-01,1.2,ipca_15
2021-11-01,1.17,ipca_15
2021-12-01,0.78,ipca_15
2022-01-01,0.58,ipca_15
2022-02-01,0.99,ipca_15
2022-03-01,0.95,ipca_15
2022-04-01,1.73,ipca_15
2022-05-01,0.59,ipca_15
2022-06-01,0.69,ipca_15
2022-07-01,0.13,ipca_15
2022-08-01,-0.73,ipca_15
2022-09-01,-0.37,ipca_15
2022-10-01,0.16,ipca_15
2022-11-01,0.53,ipca_15
2022-12-01,0.52,ipca_15
2023-01-01,0.55,ipca_15
2023-02-01,0.76,ipca_15
2023-03-01,0.69,ipca_15
2023-04-01,0.57,ipca_15
2023-05-01,0.51,ipca_15
2023-06-01,0.04,ipca_15
2023-07-01,-0.07,ipca_15
2023-08-01,0.28,ipca_15
2023-09-01,0.35,ipca_15
2023-10-01,0.21,ipca_15
2023-11-01,0.33,ipca_15
2023-12-01,0.4,ipca_15
2024-01-01,0.31,ipca_15
2024-02-01,0.78,ipca_15
2024-03-01,0.36,ipca_15
2024-04-01,0.21,ipca_15
2024-05-01,0.44,ipca_15
2024-06-01,0.39,ipca_15
2024-07-01,0.3,ipca_15
2024-08-01,0.19,ipca_15
2024-09-01,0.13,ipca_15
2024-10-01,0.54,ipca_15
2024-11-01,0.62,ipca_15
2024-12-01,0.34,ipca_15
2025-01-01,0.11,ipca_15
2025-02-01,1.23,ipca_15
2025-03-01,0.64,ipca_15
2025-04-01,0.43,ipca_15
2025-05-01,0.36,ipca_15
2025-06-01,0.26,ipca_15
2025-07-01,0.33,ipca_15
2025-08-01,-0.14,ipca_15
2025-09-01,0.48,ipca_15
2025-10-01,0.18,ipca_15
2025-11-01,0.2,ipca_15
2025-12-01,0.25,ipca_15
2026-01-01,0.2,ipca_15
2026-02-01,0.84,ipca_15
2026-03-01,0.44,ipca_15
2026-04-01,0.89,ipca_15
2026-05-01,0.62,ipca_15
2026-06-01,0.41,ipca_15
2026-07-01,0.06,ipca_15
2000-01-01,0.61,inpc
2000-02-01,0.05,inpc
2000-03-01,0.13,inpc
2000-04-01,0.09,inpc
2000-05-01,-0.05,inpc
2000-06-01,0.3,inpc
2000-07-01,1.39,inpc
2000-08-01,1.21,inpc
2000-09-01,0.43,inpc
2000-10-01,0.16,inpc
2000-11-01,0.29,inpc
2000-12-01,0.55,inpc
2001-01-01,0.77,inpc
2001-02-01,0.49,inpc
2001-03-01,0.48,inpc
2001-04-01,0.84,inpc
2001-05-01,0.57,inpc
2001-06-01,0.6,inpc
2001-07-01,1.11,inpc
2001-08-01,0.79,inpc
2001-09-01,0.44,inpc
2001-10-01,0.94,inpc
2001-11-01,1.29,inpc
2001-12-01,0.74,inpc
2002-01-01,1.07,inpc
2002-02-01,0.31,inpc
2002-03-01,0.62,inpc
2002-04-01,0.68,inpc
2002-05-01,0.09,inpc
2002-06-01,0.61,inpc
2002-07-01,1.15,inpc
2002-08-01,0.86,inpc
2002-09-01,0.83,inpc
2002-10-01,1.57,inpc
2002-11-01,3.39,inpc
2002-12-01,2.7,inpc
2003-01-01,2.47,inpc
2003-02-01,1.46,inpc
2003-03-01,1.37,inpc
2003-04-01,1.38,inpc
2003-05-01,0.99,inpc
2003-06-01,-0.06,inpc
2003-07-01,0.04,inpc
2003-08-01,0.18,inpc
2003-09-01,0.82,inpc
2003-10-01,0.39,inpc
2003-11-01,0.37,inpc
2003-12-01,0.54,inpc
2004-01-01,0.83,inpc
2004-02-01,0.39,inpc
2004-03-01,0.57,inpc
2004-04-01,0.41,inpc
2004-05-01,0.4,inpc
2004-06-01,0.5,inpc
2004-07-01,0.73,inpc
2004-08-01,0.5,inpc
2004-09-01,0.17,inpc
2004-10-01,0.17,inpc
2004-11-01,0.44,inpc
2004-12-01,0.86,inpc
2005-01-01,0.57,inpc
2005-02-01,0.44,inpc
2005-03-01,0.73,inpc
2005-04-01,0.91,inpc
2005-05-01,0.7,inpc
2005-06-01,-0.11,inpc
2005-07-01,0.03,inpc
2005-08-01,0,inpc
2005-09-01,0.15,inpc
2005-10-01,0.58,inpc
2005-11-01,0.54,inpc
2005-12-01,0.4,inpc
2006-01-01,0.38,inpc
2006-02-01,0.23,inpc
2006-03-01,0.27,inpc
2006-04-01,0.12,inpc
2006-05-01,0.13,inpc
2006-06-01,-0.07,inpc
2006-07-01,0.11,inpc
2006-08-01,-0.02,inpc
2006-09-01,0.16,inpc
2006-10-01,0.43,inpc
2006-11-01,0.42,inpc
2006-12-01,0.62,inpc
2007-01-01,0.49,inpc
2007-02-01,0.42,inpc
2007-03-01,0.44,inpc
2007-04-01,0.26,inpc
2007-05-01,0.26,inpc
2007-06-01,0.31,inpc
2007-07-01,0.32,inpc
2007-08-01,0.59,inpc
2007-09-01,0.25,inpc
2007-10-01,0.3,inpc
2007-11-01,0.43,inpc
2007-12-01,0.97,inpc
2008-01-01,0.69,inpc
2008-02-01,0.48,inpc
2008-03-01,0.51,inpc
2008-04-01,0.64,inpc
2008-05-01,0.96,inpc
2008-06-01,0.91,inpc
2008-07-01,0.58,inpc
2008-08-01,0.21,inpc
2008-09-01,0.15,inpc
2008-10-01,0.5,inpc
2008-11-01,0.38,inpc
2008-12-01,0.29,inpc
2009-01-01,0.64,inpc
2009-02-01,0.31,inpc
2009-03-01,0.2,inpc
2009-04-01,0.55,inpc
2009-05-01,0.6,inpc
2009-06-01,0.42,inpc
2009-07-01,0.23,inpc
2009-08-01,0.08,inpc
2009-09-01,0.16,inpc
2009-10-01,0.24,inpc
2009-11-01,0.37,inpc
2009-12-01,0.24,inpc
2010-01-01,0.88,inpc
2010-02-01,0.7,inpc
2010-03-01,0.71,inpc
2010-04-01,0.73,inpc
2010-05-01,0.43,inpc
2010-06-01,-0.11,inpc
2010-07-01,-0.07,inpc
2010-08-01,-0.07,inpc
2010-09-01,0.54,inpc
2010-10-01,0.92,inpc
2010-11-01,1.03,inpc
2010-12-01,0.6,inpc
2011-01-01,0.94,inpc
2011-02-01,0.54,inpc
2011-03-01,0.66,inpc
2011-04-01,0.72,inpc
2011-05-01,0.57,inpc
2011-06-01,0.22,inpc
2011-07-01,0,inpc
2011-08-01,0.42,inpc
2011-09-01,0.45,inpc
2011-10-01,0.32,inpc
2011-11-01,0.57,inpc
2011-12-01,0.51,inpc
2012-01-01,0.51,inpc
2012-02-01,0.39,inpc
2012-03-01,0.18,inpc
2012-04-01,0.64,inpc
2012-05-01,0.55,inpc
2012-06-01,0.26,inpc
2012-07-01,0.43,inpc
2012-08-01,0.45,inpc
2012-09-01,0.63,inpc
2012-10-01,0.71,inpc
2012-11-01,0.54,inpc
2012-12-01,0.74,inpc
2013-01-01,0.92,inpc
2013-02-01,0.52,inpc
2013-03-01,0.6,inpc
2013-04-01,0.59,inpc
2013-05-01,0.35,inpc
2013-06-01,0.28,inpc
2013-07-01,-0.13,inpc
2013-08-01,0.16,inpc
2013-09-01,0.27,inpc
2013-10-01,0.61,inpc
2013-11-01,0.54,inpc
2013-12-01,0.72,inpc
2014-01-01,0.63,inpc
2014-02-01,0.64,inpc
2014-03-01,0.82,inpc
2014-04-01,0.78,inpc
2014-05-01,0.6,inpc
2014-06-01,0.26,inpc
2014-07-01,0.13,inpc
2014-08-01,0.18,inpc
2014-09-01,0.49,inpc
2014-10-01,0.38,inpc
2014-11-01,0.53,inpc
2014-12-01,0.62,inpc
2015-01-01,1.48,inpc
2015-02-01,1.16,inpc
2015-03-01,1.51,inpc
2015-04-01,0.71,inpc
2015-05-01,0.99,inpc
2015-06-01,0.77,inpc
2015-07-01,0.58,inpc
2015-08-01,0.25,inpc
2015-09-01,0.51,inpc
2015-10-01,0.77,inpc
2015-11-01,1.11,inpc
2015-12-01,0.9,inpc
2016-01-01,1.51,inpc
2016-02-01,0.95,inpc
2016-03-01,0.44,inpc
2016-04-01,0.64,inpc
2016-05-01,0.98,inpc
2016-06-01,0.47,inpc
2016-07-01,0.64,inpc
2016-08-01,0.31,inpc
2016-09-01,0.08,inpc
2016-10-01,0.17,inpc
2016-11-01,0.07,inpc
2016-12-01,0.14,inpc
2017-01-01,0.42,inpc
2017-02-01,0.24,inpc
2017-03-01,0.32,inpc
2017-04-01,0.08,inpc
2017-05-01,0.36,inpc
2017-06-01,-0.3,inpc
2017-07-01,0.17,inpc
2017-08-01,-0.03,inpc
2017-09-01,-0.02,inpc
2017-10-01,0.37,inpc
2017-11-01,0.18,inpc
2017-12-01,0.26,inpc
2018-01-01,0.23,inpc
2018-02-01,0.18,inpc
2018-03-01,0.07,inpc
2018-04-01,0.21,inpc
2018-05-01,0.43,inpc
2018-06-01,1.43,inpc
2018-07-01,0.25,inpc
2018-08-01,0,inpc
2018-09-01,0.3,inpc
2018-10-01,0.4,inpc
2018-11-01,-0.25,inpc
2018-12-01,0.14,inpc
2019-01-01,0.36,inpc
2019-02-01,0.54,inpc
2019-03-01,0.77,inpc
2019-04-01,0.6,inpc
2019-05-01,0.15,inpc
2019-06-01,0.01,inpc
2019-07-01,0.1,inpc
2019-08-01,0.12,inpc
2019-09-01,-0.05,inpc
2019-10-01,0.04,inpc
2019-11-01,0.54,inpc
2019-12-01,1.22,inpc
2020-01-01,0.19,inpc
2020-02-01,0.17,inpc
2020-03-01,0.18,inpc
2020-04-01,-0.23,inpc
2020-05-01,-0.25,inpc
2020-06-01,0.3,inpc
2020-07-01,0.44,inpc
2020-08-01,0.36,inpc
2020-09-01,0.87,inpc
2020-10-01,0.89,inpc
2020-11-01,0.95,inpc
2020-12-01,1.46,inpc
2021-01-01,0.27,inpc
